"x","y"
-0.401208,39.5000897
-0.4057036,39.5012856
-0.4042512,39.4567931
-0.4105821,39.4598252
-0.4065459,39.462921
-1.0103458,39.4720413
-1.0106446,39.472143
-1.01066,39.4721153
-1.0107093,39.4721337
-1.0107709,39.4720259
-1.0107278,39.4719982
-1.0107401,39.4719705
-1.0104321,39.4718689
-0.4959348,39.5599862
-0.4869751,39.55559
-0.4584713,39.4693706
-0.3839202,39.4744368
-0.4874083,38.3513408
-0.9204349,38.2775958
-0.4669177,38.3592075
-0.0623858,38.7715439
-1.1434045,39.5265054
-1.1452708,39.5236907
-0.5135086,38.3306652
-0.3786286,39.4680614
-0.5387905,38.3412974
-0.4097835,39.4580186
-0.4063357,39.4631253
-0.4065905,39.4631659
-0.4044146,39.4877106
-0.4042889,39.4875343
-0.4038311,39.4877244
-0.4039589,39.4879013
-0.3979941,39.4876763
-0.3982076,39.4879733
-0.3805486,39.4935483
-0.3801908,39.4935451
-0.3803687,39.4937465
-0.3805161,39.4937078
0.0897369,38.834944
0.0570056,38.8585717
-0.5150609,38.3901614
-0.5341325,38.4015231
-0.5354886,38.4013348
-1.4344637,38.2601664
-0.6615449,38.4295727
-0.6660425,38.3516031
-0.774619,38.3405821
-0.2520305,38.4990618
-0.229464,38.5068357
-0.4213021,38.4130059
-0.0015187,40.0983929
0.008692,39.972423
0.0104677,39.9768417
0.0129454,40.0310903
0.0302555,40.2073776
-0.03356,40.17831
-0.0355855,40.7881415
0.0377586,38.6530529
0.0404937,38.6460206
0.039635,40.1565203
-0.0428788,40.0033595
-0.0419341,38.851786
-0.0455945,40.1925764
-0.0486018,39.9760552
-0.0469968,39.9944906
-0.0518836,40.1184694
-0.0487524,38.6047526
0.0529574,40.0493492
0.052287,38.6458401
-0.0548234,39.9926137
-0.0550103,38.5933443
-0.05925,39.951472
-0.057528,39.993778
-0.065265,39.979574
-0.0680321,39.9691749
-0.064046,39.964426
0.065595,40.0578268
-0.075222,39.951556
-0.0657712,39.988354
0.0766697,38.7267074
0.07575,40.231722
-0.0766325,39.9559386
-0.082972,38.567722
-0.0800803,39.8940915
-0.089444,39.947944
-0.088753,39.883257
-0.0850052,39.9498199
-0.0934855,39.8846683
0.092111,38.729361
-0.0945627,40.6096086
-0.105389,38.581361
-0.105142,39.929534
-0.1020103,38.557727
-0.1169056,39.8990654
-0.1208182,38.6478646
-0.107392,39.930534
-0.109639,39.942444
-0.1165002,39.9435532
-0.129556,38.603028
0.1318252,40.0917448
-0.1238308,39.8638521
-0.1417512,40.0539531
0.149306,40.134694
-0.1487348,38.9359537
-0.1347168,40.3782794
-0.1651092,38.949307
-0.161917,38.989389
0.1506331,38.7406657
0.17278,40.4199
-0.177556,38.960667
-0.1891182,38.9574546
-0.190417,40.663583
-0.180722,39.778583
0.1799898,40.4582388
-0.1812589,39.7957163
-0.2052431,40.0706956
0.20133,40.2222539
-0.1962376,39.9312075
-0.1955,38.95031
-0.216972,39.678972
-0.2129131,39.824037
-0.20826,39.768501
-0.251056,39.964611
-0.2489491,39.6725821
0.25464,40.5149
-0.2588294,39.1674357
-0.254943,39.6731268
0.229361,40.309361
-0.2278477,39.7587207
-0.233167,39.8185351
-0.2483938,39.0872039
0.2444182,40.2564107
-0.2820024,39.6567647
-0.2811104,39.6567551
-0.285722,39.612972
-0.294972,39.5625
-0.29897,39.55234
-0.299081,39.587392
-0.301276,39.616976
-0.261583,39.1781951
-0.1859357,39.9516501
-0.2650877,39.6785415
0.275914,40.45534
-0.277697,40.018868
-0.3243554,39.5045131
-0.334221,39.5640812
-0.3296247,39.4851592
-0.328776,39.588781
-0.3095,39.209056
-0.306528,39.539472
-0.3027655,38.909521
-0.31233,39.19875
0.3496514,40.6052382
-0.3504917,39.5242582
-0.359526,39.510476
-0.352556,39.531472
-0.3353239,39.5629336
-0.335667,39.464528
-0.3458307,39.5002312
-0.339917,39.420722
-0.3441806,39.154677
-0.3763069,38.8741014
0.374519,40.735972
-0.3772096,39.4287467
-0.3736859,39.4207738
-0.3738826,39.4926383
-0.365998,39.74892
-0.396387,39.421392
-0.3878978,39.5452606
-0.393167,38.418806
-0.38672,39.492976
-0.3784528,39.4830621
-0.3784904,39.4204721
-0.4051867,39.4562134
-0.3972288,38.9462169
-0.4045,39.42844
-0.4036849,39.4593323
-0.4026444,39.4411121
-0.401803,39.40792
-0.401186,39.4786927
-0.4000077,39.4607164
-0.399393,38.430646
0.399108,40.435868
-0.419276,39.396031
-0.4153918,39.280471
-0.4144755,39.280531
-0.41236,39.52672
-0.410583,39.386694
-0.4093463,39.4581798
-0.4109526,39.4272845
-0.4075225,39.3640758
-0.4062073,38.4246433
-0.433833,39.473472
-0.4331766,39.4692908
-0.432361,39.561
-0.4389667,38.4064317
-0.435333,39.459944
-0.434794,39.4642248
-0.4348534,38.3635747
-0.4396597,38.7387513
-0.4392428,39.1417054
-0.444276,39.503726
0.443908,40.592889
-0.4214509,38.4118839
-0.421806,39.220694
-0.426759,39.4406917
-0.427444,39.435944
0.425917,40.410417
-0.426833,39.478917
-0.4318554,39.5613154
-0.431998,39.288003
-0.4301122,39.1613236
-0.460361,39.449028
0.46408,40.46326
-0.466859,39.35442
-0.4681535,39.4875213
-0.4695608,39.4940578
-0.4444353,39.1987998
-0.44514,39.45978
-0.4470083,39.437107
-0.446583,39.374
-0.450278,39.288778
-0.4550768,39.2862547
-0.4558583,39.2876616
-0.4567987,39.5145269
-0.458,39.113917
-0.4600285,39.2169794
-0.5033913,38.3802944
0.501936,40.718528
-0.498667,39.442778
-0.494306,38.364222
-0.493972,39.847806
-0.4911304,39.4740024
-0.510642,39.84784
-0.5098391,39.4162902
-0.508139,39.129667
-0.479806,39.438694
0.475167,40.483778
-0.4780306,38.6950597
-0.4729802,39.5316869
-0.472914,39.448587
-0.4875949,39.2274307
-0.4884138,38.3777954
-0.484938,39.1876348
-0.4835921,39.4268605
-0.5303367,38.9058749
-0.524303,39.235726
-0.529109,39.234726
-0.538744,38.2759484
-0.5367658,39.4797183
-0.5357923,39.4712618
-0.5356227,39.4727426
-0.536421,38.416841
-0.51525,39.4725
-0.516831,39.659865
-0.512472,38.335861
-0.514637,39.4733167
-0.518806,39.162806
-0.52208,38.34258
-0.523139,38.337778
-0.517893,38.345591
-0.518053,38.836226
-0.58,38.885667
-0.58375,38.82864
-0.57425,39.272056
0.5797052,40.7054758
0.585658,40.703167
-0.567194,39.279111
-0.5635033,39.4943108
-0.565929,39.9115147
-0.558361,39.597417
-0.5553577,38.3483517
-0.5634703,39.4942895
-0.561633,39.6005157
-0.5591544,39.6736511
-0.5445,39.059528
-0.54322,39.589392
-0.5428458,38.9092274
-0.542056,39.017167
-0.5501058,38.2353636
-0.545942,39.598753
-0.6181955,39.5663478
-0.5934924,38.8262913
-0.608529,39.6492667
-0.6109369,39.3482663
-0.6116782,39.3424252
-0.6124096,39.4749042
-0.593472,38.607972
-0.603167,38.498222
-0.5955,38.825778
-0.6050366,38.3097507
-0.60625,38.307972
-0.588444,39.621806
-0.5884335,38.956432
-0.58889,39.58667
0.5880834,40.7091718
-0.6906426,38.272476
-0.69607,40.68053
-0.6881863,37.992202
-0.6900964,37.9990114
-0.6840813,39.4262798
-0.682194,38.269472
-0.679282,37.983063
-0.671199,38.720118
-0.6561033,37.9961162
-0.6548723,39.0324319
-0.650803,39.656365
-0.650359,39.65692
-0.63725,38.434417
-0.7303239,38.2582201
-0.7306103,38.0292381
-0.7369203,38.3878752
-0.7285311,38.0629407
-0.721944,38.282778
-0.71825,38.260389
-0.7179054,37.9433456
-0.7031185,38.2525215
-0.8177027,38.2342592
-0.8340469,39.7258229
-0.8233935,40.1489323
-0.857944,39.789194
-0.8566902,38.6296562
-0.854056,38.175028
-0.773269,38.4882906
-0.767755,38.701896
-0.782861,39.394194
-0.782717,37.8443036
-0.776949,38.488896
-0.7780818,39.4305837
-0.782611,38.462861
-0.797861,38.248694
-0.7980759,38.2491593
-0.7906661,38.2333394
-0.7885679,38.1150475
-0.8081866,38.5320959
-0.8013072,38.7791649
-0.80331,38.167591
-0.9282041,40.2084621
-0.9386201,38.7290044
-0.9435536,37.8913945
-0.9535182,38.0915914
-0.952417,38.090444
-0.888056,38.670306
-0.889806,38.156
-0.899643,38.141535
-1.0561052,38.0884693
-1.0492252,38.1113701
-1.046803,39.051253
-1.046667,38.619028
-1.035301,38.1025774
-1.0355486,38.1008299
-1.0355,38.84899
-1.025318,40.529089
-1.0242796,38.0077389
-1.0874677,40.332801
-1.083528,39.862028
-1.08667,38.05092
-1.059331,37.9773795
-1.062081,38.060018
-0.986107,38.708681
-1.133861,38.023167
-1.130944,38.620194
-1.1345251,37.9602629
-1.150485,40.361589
-1.1609831,38.0575704
-1.1595,38.018806
-1.1424525,37.9965982
-1.143414,38.000712
-1.104517,37.8691763
-1.1048796,40.3367615
-1.1081077,40.3604164
-1.1002496,38.8746919
-1.100861,38.607
-1.1137454,37.9797807
-1.116472,37.955194
-1.1171973,40.3475686
-1.1188109,37.9434982
-1.1213308,38.0021995
-1.1091186,38.6182246
-1.1111898,37.9895154
-1.1116487,37.9817924
-1.1117285,37.9797489
-1.1118854,37.9925869
-1.236543,38.9588311
-1.2418575,38.076911
-1.2295493,38.9569187
-0.8741398,38.0886776
-1.253556,38.035083
-1.2590836,37.9530016
-1.2490016,40.1269559
-1.2520622,37.9824033
-1.2526122,40.4827756
-1.22255,38.00949
-1.223111,38.071861
-1.223139,38.07725
-1.2091112,38.0464453
-1.2022845,38.0684378
-1.218333,37.9295285
-1.21775,38.079472
-1.183306,37.952639
-1.185026,37.954962
-1.17878,37.9728
-1.197278,38.061472
-1.188028,37.950667
-1.19075,38.036056
-1.3472862,40.7826984
-1.3136354,37.9124371
-1.316164,38.46999
-1.324498,38.488518
-1.327646,39.741449
-1.3284162,40.6920585
-1.3319824,38.8750968
-1.3318286,38.8761877
-1.333442,38.193935
-1.2946835,38.3255462
-1.296957,40.614089
-1.295417,38.082889
-1.3117427,39.5393847
-1.307831,38.467379
-1.262442,38.024851
-1.2705761,38.5599329
-1.273472,38.119444
-1.2854436,40.5643163
-1.508329,38.609542
-1.4975503,38.6228514
-1.502981,38.8984522
-1.5077181,37.9961308
-1.47969,39.28254
-1.442778,38.248694
-1.433302,38.68982
-1.4406714,40.4128704
-1.43725,39.526028
-1.431579,38.695348
-1.431,38.257694
-1.42686,38.24835
-1.3776892,38.2073455
-0.5426201,39.0612267
-0.4777823,38.4010396
-1.1388412,37.9980521
-0.5921829,38.2914922
-1.150062,38.0412602
-1.1395648,38.0196572
-1.3604283,37.8855012
-0.7161137,37.9459531
-1.1488539,37.9713266
-0.3523943,39.4761924
-0.3014041,39.6513803
-0.3023729,39.6494659
-0.4403021,39.5137752
-1.4331797,38.2600877
-1.1993965,38.0734809
0.0630225,38.7900219
0.0502556,38.6454957
-0.3865329,38.6988742
-0.0185857,39.9818467
-0.848811,40.4364939
-0.5456082,38.3431673
-0.5384051,38.344023
-0.5384297,38.3442762
-0.5387023,38.3442645
-0.5386847,38.3441097
-0.5385304,38.3441161
-0.53852,38.3440157
-0.5660187,38.4110642
-0.5654179,38.4115014
-0.4863457,38.3683599
-0.5685748,38.1993691
-0.5232049,38.3445656
-0.5203247,38.3452666
-0.3908929,39.4668904
-0.3984931,39.4877554
-1.1300468,37.8698396
0.4035094,40.413264
-0.5560389,39.5423768
-0.6107496,39.4458562
-0.9375282,38.0556768
-0.85577,38.0411575
-0.8851563,38.0591689
-0.9838186,38.0634766
-0.6875457,37.9868923
-0.9275964,38.143119
-0.5001538,39.504933
-0.5150712,39.5111578
-0.9319129,38.1062534
-0.8944615,38.1648502
-0.828413,38.1481639
-0.9033287,38.1112982
-1.0424973,38.0621165
0.1791317,38.7819007
0.1771136,38.7940982
-0.1705824,40.2195057
-1.1146871,37.9847339
-0.4427917,39.5315704
-0.4424485,39.5317368
-0.4420314,39.531433
-0.4423259,39.5312014
-0.4425,39.5312182
-0.44285,39.5315141
0.1142761,40.3071372
-0.7160282,37.9459191
-0.6874091,37.9772014
-0.0687273,39.9690174
-0.664398,38.1436764
-1.2259184,37.9617992
-0.5057912,38.3905774
-0.5057195,38.3905755
-0.5057201,38.3905616
-0.5055182,38.3905562
-0.5055231,38.3904451
-0.5057192,38.3904503
-0.5057195,38.3904429
-0.505797,38.3904449
-1.2558983,37.9467853
-0.2253829,39.8278608
-0.6859847,37.9830468
-0.7034345,39.9108385
-1.1996556,37.94075
-0.7165084,37.946102
-1.1166168,37.9916483
0.149565,40.1081129
-1.0106087,39.4719272
-1.0104587,39.4718777
-1.0105849,39.471922
-0.269447,38.9226845
-0.2431497,39.077225
-0.2115022,38.9342963
-0.4687666,39.5212485
-0.2542254,39.1561829
0.4780332,40.5478299
-1.1516842,37.9428003
-1.151476,37.9428916
-1.1510781,37.9430012
-1.1513931,37.943392
-1.1513925,37.9431709
-1.1512196,37.9431662
-1.1511842,37.9433848
-0.9544149,38.1196147
-0.9547608,38.1196719
-0.9548167,38.1194971
-0.9547066,38.1194753
-0.9547141,38.1194519
-0.9544815,38.119406
-1.1240644,38.1507372
-0.8791428,38.0910718
-0.8784536,38.0910953
-0.8784602,38.0913333
-0.8786223,38.0907705
-0.8792296,38.0910689
-0.8789638,38.0913046
-0.8791212,38.0906344
0.1348351,38.6898154
0.0631257,38.7919832
-0.2612665,39.1727035
-0.398917,39.571944
-0.369806,39.445111
-1.2726492,39.8468206
-0.534444,39.476389
-0.5635538,38.9414946
-0.696306,40.016528
-1.297291,40.462006
-0.415361,39.373917
-0.247722,39.96425
-0.323722,39.587417
0.3972173,40.3610206
-0.152139,40.040972
-0.449833,38.426222
-1.3215838,38.4805356
-0.017991,39.9833851
0.6638644,40.7682026
-1.123667,38.176306
-0.441056,39.19125
-0.5787729,38.9757887
-0.582583,39.599472
-0.374694,39.273778
-1.078528,37.858056
-1.075694,38.270222
-1.196806,37.926806
-0.430833,39.813056
-0.760833,37.902667
-0.4935246,39.4005418
-1.0865681,37.9988224
-0.646083,39.013556
-0.9016551,39.4556703
-0.781806,38.123556
-0.184146,38.9665097
-0.864722,38.107
0.5697936,40.7646491
-0.5465796,39.0636068
-1.4818984,38.0410831
0.671,40.787444
-0.4725372,39.4368775
-0.860806,40.506
-0.624333,39.572167
-0.6900966,39.0963989
-0.4746323,39.089704
-0.4975,38.370222
-0.168,39.856528
-1.363111,39.583417
-0.696694,39.38925
-0.125833,40.014278
-0.6046846,38.8183036
-0.4462116,39.1284909
-0.920306,40.210083
0.1599394,38.785347
-0.043225,40.00059
-0.7327641,38.0838656
-1.3374863,38.0064784
-0.7733073,39.6090147
-0.266861,39.684167
-1.2851498,40.0631967
-0.429722,39.472083
-1.286291,40.446811
-0.5059006,38.9945731
-1.233028,37.976583
-0.6150595,38.2965585
-0.6698172,38.0016412
-1.143722,38.878278
-0.669611,38.600944
-0.528528,39.119222
-0.485056,39.498167
-0.592243,38.9743836
-0.447417,38.38625
-0.302528,39.197583
-0.5788655,39.4788225
-0.383417,39.280861
-0.6568551,38.0231087
-1.420417,37.848694
-0.5757254,39.6087271
-0.80425,40.701472
-0.184611,39.923194
-0.5383698,39.5917782
-0.782583,38.250861
-0.4341467,39.3665477
-0.834417,38.175917
-0.800639,37.871167
-0.151028,39.857694
-0.8965,38.762444
-0.39275,39.607194
-0.053779,39.9715707
-0.602528,39.630167
-0.209667,39.956556
-1.1755596,38.8751564
-1.338528,38.008861
-0.391333,39.403722
-0.567917,38.626556
-1.196889,39.56375
0.57925,40.62575
-0.4951065,38.9071863
-0.391306,39.203167
-0.4338812,39.367006
-1.5086342,37.9893796
-0.723111,38.380861
-0.3604202,39.5171031
-0.47675,38.357
-0.403861,39.418556
-0.2388744,39.6626338
-1.0989477,38.879134
-0.0385,38.62675
-0.670417,38.612972
-1.1653326,39.5305297
-0.516,38.338611
-0.20875,38.889333
-1.2124075,37.9747822
-0.8432247,38.0771533
-0.429667,39.15875
-0.705944,40.365889
-0.388,39.410444
-0.505333,39.471861
-0.6143433,38.2981592
-0.334139,39.452417
-0.180222,38.536444
-0.6154453,38.2970384
0.61475,40.744194
-0.848833,38.199389
-0.7747495,38.1395005
-0.782528,38.460056
-0.401389,38.424083
-0.4127756,39.4744551
-1.197444,40.413444
-1.482417,38.319806
-0.3402674,39.4588823
-0.551639,39.585611
-0.2719555,39.6763226
-0.560556,38.828
-0.472306,38.355389
-0.810722,38.535
-0.754167,38.878611
-0.420694,39.288806
-0.280583,40.135528
-0.210694,38.516722
-0.8163674,38.4618491
-0.855667,40.722667
-0.7186198,37.9620454
-0.4908898,38.9310277
-1.31675,38.79725
-0.4870208,38.3750962
-0.890583,38.827917
-0.821694,37.868639
0.284361,40.634667
-0.5044426,38.8963332
-0.4911984,39.4006608
-0.558389,39.544111
-1.409056,38.236833
-1.347402,40.699617
-1.416528,38.032722
-0.848972,38.618083
-0.323583,39.584889
0.042611,40.758778
